"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"101","Josiah Deguara (ARI)","3","3","14","4.7","8","0","0","0","0","0","0","7","1.4","0.2","0.0%"
"102","Jack Stoll (NO)","2","3","10","5.0","6","0","0","0","0","0","0","5","1.0","0.2","0.0%"
"103","Eric Tomlinson (FA)","2","4","9","4.5","7","0","0","0","0","0","0","5","0.9","0.2","0.0%"
"104","John Samuel Shenker (FA)","1","1","7","7.0","7","0","0","0","0","0","0","3","0.7","0.2","0.1%"
"105","Jared Wiley (KC)","1","1","7","7.0","7","0","0","0","0","0","0","7","0.7","0.1","0.0%"
"106","Brevin Jordan (HOU)","2","3","7","3.5","4","0","0","0","0","0","0","2","0.7","0.4","0.0%"
"107","Ian Thomas (LV)","3","6","7","2.3","3","0","0","0","0","0","0","3","0.7","0.2","0.1%"
"108","Geoff Swaim (FA)","1","1","7","7.0","7","0","0","0","0","0","0","3","0.7","0.2","0.0%"
"109","David Martin-Robinson (TEN)","1","2","6","6.0","6","0","0","0","0","0","0","5","0.6","0.1","0.0%"
"110","Jody Fortson Jr. (FA)","1","3","5","5.0","5","0","0","0","0","0","0","3","0.5","0.2","0.0%"
"111","Ross Dwelley (FA)","1","1","5","5.0","5","0","0","0","0","0","0","4","0.5","0.1","0.0%"
"112","Zach Davidson (BUF)","1","2","5","5.0","5","0","0","0","0","0","0","3","0.5","0.2","0.0%"
"113","Marcedes Lewis (FA)","1","2","2","2.0","2","0","0","0","0","0","0","6","0.2","0.0","0.0%"
"114","John FitzPatrick (GB)","1","1","2","2.0","2","0","0","0","0","0","0","9","0.2","0.0","0.0%"
"115","Stevo Klotz (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"116","Harold Fannin Jr. (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"117","Caleb Lohner (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"118","Jermaine Terry II (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"119","Drake Dabney (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"120","Maximilian Mang (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"121","Mitchell Wilcox (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"122","Nick Kallerup (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"123","Stephen Sullivan (FA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"124","Lawrence Cager (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"125","Tyler Mabry (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"126","Sean McKeon (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
