"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"101","Jordan Mims (TEN)","20","70","3.5","9","0","0","12","18","71","5.9","0","0","8","14.1","1.8","0.0%"
"102","Ronnie Rivers (LAR)","22","99","4.5","12","0","0","5","6","34","6.8","0","0","7","13.3","1.9","0.0%"
"103","Will Shipley (PHI)","30","82","2.7","9","0","0","4","4","35","8.8","0","0","13","11.7","0.9","12.7%"
"104","Tony Jones Jr. (FA)","4","55","13.8","46","1","1","0","0","0","0","0","0","1","11.5","11.5","0.0%"
"105","Julius Chestnut (TEN)","22","102","4.6","12","0","0","2","3","11","5.5","0","0","14","11.3","0.8","0.1%"
"106","Deuce Vaughn (DAL)","17","70","4.1","12","0","0","3","5","18","6.0","0","0","6","8.8","1.5","0.1%"
"107","C.J. Ham (MIN)","2","10","5.0","8","0","1","5","6","35","7.0","0","1","17","8.5","0.5","0.1%"
"108","Raheem Blackshear (CAR)","15","80","5.3","26","1","0","0","0","0","0","0","0","16","8.0","0.5","0.1%"
"109","Jeff Wilson Jr. (SF)","16","57","3.6","14","0","0","3","3","19","6.3","0","0","7","7.6","1.1","0.0%"
"110","Eric Gray (NYG)","14","31","2.2","6","0","0","10","11","82","8.2","0","2","16","7.3","0.5","0.0%"
"111","Clyde Edwards-Helaire (NO)","13","46","3.5","12","0","0","3","5","24","8.0","0","0","2","7.0","3.5","0.7%"
"112","Tyler Badie (DEN)","11","86","7.8","43","1","0","3","3","-2","-0.7","0","1","3","6.4","2.1","0.0%"
"113","Kene Nwangwu (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","2","6.0","3.0","0.0%"
"114","Keaton Mitchell (BAL)","15","30","2.0","7","0","0","1","1","28","28.0","0","0","4","5.8","1.5","1.9%"
"115","Sione Vaki (DET)","6","14","2.3","7","0","0","3","3","37","12.3","0","0","12","5.1","0.4","0.0%"
"116","Mike Boone (FA)","13","51","3.9","9","0","0","1","3","-2","-2.0","0","0","5","4.9","1.0","0.0%"
"117","Jonathon Brooks (CAR)","9","22","2.4","9","0","0","3","3","23","7.7","0","0","3","4.5","1.5","0.3%"
"118","J.J. Taylor (FA)","10","44","4.4","9","0","0","2","3","0","0.0","0","0","4","4.4","1.1","0.1%"
"119","Jacob Kibodi (FA)","5","24","4.8","17","0","0","1","3","15","15.0","0","0","1","3.9","3.9","0.0%"
"120","Travis Homer (CHI)","6","23","3.8","6","0","0","3","3","11","3.7","0","0","9","3.4","0.4","0.1%"
"121","Terrell Jennings (NE)","13","33","2.5","7","0","0","0","1","0","0","0","0","2","3.3","1.7","0.0%"
"122","Jermar Jefferson (TEN)","6","22","3.7","8","0","0","1","1","10","10.0","0","0","2","3.2","1.6","0.2%"
"123","Jase McClellan (FA)","13","32","2.5","8","0","0","0","0","0","0","0","0","3","3.2","1.1","0.0%"
"124","Rasheen Ali (BAL)","10","31","3.1","9","0","0","0","2","0","0","0","0","5","3.1","0.6","0.1%"
"125","Dalvin Cook (FA)","8","20","2.5","4","0","0","1","1","10","10.0","0","0","2","3.0","1.5","0.1%"
"126","Blake Watson (DEN)","4","10","2.5","7","0","0","1","2","13","13.0","0","0","3","2.3","0.8","0.0%"
"127","Jonathan Ward (NYG)","5","22","4.4","7","0","0","0","0","0","0","0","0","4","2.2","0.6","0.0%"
"128","MarShawn Lloyd (GB)","6","15","2.5","5","0","0","1","1","3","3.0","0","0","1","1.8","1.8","7.0%"
"129","Aaron Shampklin (FA)","6","17","2.8","5","0","0","0","0","0","0","0","0","3","1.7","0.6","0.0%"
"130","Tyreik McAllister (FA)","2","11","5.5","10","0","0","0","0","0","0","0","0","2","1.1","0.6","0.0%"
"131","Myles Gaskin (BAL)","3","-1","-0.3","2","0","0","1","1","11","11.0","0","0","4","1.0","0.3","0.0%"
"132","George Holani (SEA)","3","10","3.3","8","0","0","1","1","-1","-1.0","0","0","3","0.9","0.3","0.1%"
"133","Cody Schrader (LAR)","1","3","3.0","3","0","0","1","1","6","6.0","0","0","1","0.9","0.9","0.0%"
"134","Chris Collier (LV)","5","12","2.4","4","0","0","1","2","-4","-4.0","0","0","6","0.8","0.1","0.0%"
"135","Tyrion Davis-Price (GB)","3","7","2.3","5","0","0","0","0","0","0","0","0","1","0.7","0.7","0.0%"
"136","Reggie Gilliam (BUF)","3","7","2.3","4","0","0","0","0","0","0","0","0","14","0.7","0.1","0.0%"
"137","Ke'Shawn Vaughn (FA)","2","4","2.0","3","0","0","0","0","0","0","0","0","1","0.4","0.4","0.0%"
"138","Darrynton Evans (BUF)","3","3","1.0","4","0","0","0","0","0","0","0","0","2","0.3","0.2","0.0%"
"139","British Brooks (HOU)","1","2","2.0","2","0","0","0","0","0","0","0","0","3","0.2","0.1","0.0%"
"140","Joshua Kelley (FA)","1","2","2.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","0.0%"
"141","Deon Jackson (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"142","Demetric Felton Jr. (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"143","Jaret Patterson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"144","A.J. Dillon (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"145","Salvon Ahmed (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"146","La'Mical Perine (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"147","Javian Hawkins (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"148","Ashton Jeanty (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99.6%"
"149","Ollie Gordon II (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.8%"
"150","Frank Gore Jr. (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"151","Damien Martinez (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"152","Colson Yankoff (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"153","Dante Miller (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"154","Jordan Waters (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"155","Michael Wiley (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"156","Jawhar Jordan (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"157","Tahj Brooks (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"158","Omarion Hampton (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","97.0%"
"159","Trevor Etienne (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.3%"
"160","Quinshon Judkins (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","76.1%"
"161","Deneric Prince (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"162","Zavier Scott (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"163","Brady Russell (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","11","0.0","0.0","0.0%"
"164","Ben VanSumeren (PHI)","0","0","0","0","0","0","1","1","0","0.0","0","0","7","0.0","0.0","0.0%"
"165","Carlos Washington Jr. (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"166","Kazmeir Allen (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0",""
"167","Scott Matlock (LAC)","0","0","0","0","0","0","4","5","28","7.0","0","0","17","0.0","0.0","0.4%"
"168","Lan Larison (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"169","Robbie Ouzts (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"170","Josh Williams (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"171","Ahmani Marshall (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"172","Woody Marks (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.1%"
"173","Lucas Scott (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"174","ShunDerrick Powell (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"175","Deion Hankins (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"176","Montrell Johnson Jr. (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"177","Jacardia Wright (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"178","Brock Lampe (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"179","Kye Robichaux (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"180","Anthony Tyus III (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
