"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"50","Ray-Ray McCloud III (ATL)","62","87","686","11.1","60","8","1","10","79","0","2","17","140.5","8.3","2.4%"
"51","Tank Dell (HOU)","51","81","667","13.1","50","9","3","9","43","0","0","14","140.0","10.0","2.3%"
"52","Adam Thielen (MIN)","48","62","615","12.8","40","9","5","0","0","0","0","10","139.5","14.0","42.5%"
"53","Chris Godwin Jr. (TB)","50","62","576","11.5","55","7","5","1","2","0","0","7","137.8","19.7","79.8%"
"54","Nick Westbrook-Ikhine (MIA)","32","60","497","15.5","98","4","9","0","0","0","0","14","135.7","9.7","2.3%"
"55","Jalen McMillan (TB)","37","58","461","12.5","33","8","8","4","43","0","0","13","135.4","10.4","8.5%"
"56","Romeo Doubs (GB)","46","72","601","13.1","39","8","4","0","0","0","0","13","132.1","10.2","16.3%"
"57","Marvin Mims Jr. (DEN)","39","52","503","12.9","93","7","6","13","42","0","0","17","129.5","7.6","46.5%"
"58","Tre Tucker (LV)","47","81","539","11.5","58","6","3","9","44","1","0","17","129.3","7.6","1.5%"
"59","Allen Lazard (NYJ)","37","60","530","14.3","52","8","6","0","0","0","0","12","126.0","10.5","1.2%"
"60","Xavier Legette (CAR)","49","84","497","10.1","35","7","4","6","24","0","0","16","125.1","7.8","30.8%"
"61","Michael Wilson (ARI)","47","71","548","11.7","41","10","4","1","7","0","1","16","124.5","7.8","6.5%"
"62","Demarcus Robinson (SF)","31","64","505","16.3","46","9","7","0","0","0","0","17","123.5","7.3","1.1%"
"63","Amari Cooper (LV)","44","85","547","12.4","30","8","4","0","0","0","0","13","122.7","9.4","26.3%"
"64","Kayshon Boutte (NE)","43","68","589","13.7","48","11","3","0","0","0","0","15","121.9","8.1","1.9%"
"65","Stefon Diggs (NE)","47","64","496","10.6","49","5","3","3","8","1","0","8","121.9","15.2","89.6%"
"66","Tyler Lockett (TEN)","49","74","600","12.2","37","7","2","0","0","0","0","17","121.0","7.1","8.9%"
"67","Elijah Moore (BUF)","61","102","538","8.8","44","5","1","1","1","0","0","17","120.9","7.1","1.1%"
"68","Andrei Iosivas (CIN)","36","61","479","13.3","39","7","6","0","0","0","0","17","119.9","7.1","2.8%"
"69","Calvin Austin III (PIT)","36","58","548","15.2","55","10","4","0","0","0","1","17","118.8","7.0","3.9%"
"70","Olamide Zaccheaus (CHI)","45","64","506","11.2","49","5","3","1","8","0","1","17","112.4","6.6","0.9%"
"71","Keon Coleman (BUF)","29","57","556","19.2","64","12","4","1","9","0","0","13","111.5","8.6","74.5%"
"72","Dontayvion Wicks (GB)","39","76","415","10.6","36","4","5","0","0","0","0","17","110.5","6.5","2.5%"
"73","Darius Slayton (NYG)","39","71","573","14.7","43","9","2","2","17","0","0","16","110.0","6.9","4.8%"
"74","Joshua Palmer (BUF)","39","65","584","15.0","45","10","1","0","0","0","0","15","107.4","7.2","22.0%"
"75","Devaughn Vele (NO)","41","55","475","11.6","37","7","3","0","0","0","0","13","106.5","8.2","1.3%"
"76","Christian Watson (GB)","29","53","620","21.4","60","12","2","4","23","0","1","15","105.3","7.0","3.7%"
"77","KaVontae Turpin (DAL)","31","52","420","13.5","64","6","2","16","92","0","1","17","104.2","6.1","2.3%"
"78","Jalen Nailor (MIN)","28","42","414","14.8","33","8","6","3","-4","0","1","17","103.0","6.1","2.2%"
"79","Tutu Atwell (LAR)","42","62","562","13.4","50","10","0","2","7","0","0","17","98.9","5.8","2.1%"
"80","Mack Hollins (NE)","31","50","378","12.2","44","4","5","0","0","0","0","17","98.8","5.8","0.9%"
"81","Parker Washington (JAC)","32","51","390","12.2","30","6","3","0","0","0","0","17","97.0","5.7","0.7%"
"82","Ricky Pearsall (SF)","31","46","400","12.9","46","5","3","3","45","0","0","11","93.5","8.5","88.6%"
"83","Jalen Coker (CAR)","32","46","478","14.9","83","6","2","0","0","0","0","11","92.6","8.4","9.3%"
"84","Tim Patrick (JAC)","33","44","394","11.9","42","6","3","0","0","0","0","16","92.4","5.8","1.2%"
"85","Greg Dortch (ARI)","37","50","342","9.2","39","2","3","5","31","0","1","17","90.3","5.3","0.8%"
"86","Diontae Johnson (FA)","33","67","375","11.4","39","5","3","2","6","0","0","11","89.1","8.1","2.9%"
"87","Noah Brown (WAS)","35","56","453","12.9","52","4","1","0","0","0","0","11","86.3","7.8","1.0%"
"88","David Moore (CAR)","32","57","351","11.0","21","2","3","1","0","0","0","17","85.1","5.0","0.8%"
"89","Marquez Valdes-Scantling (SF)","19","44","411","21.6","71","8","4","1","4","0","0","13","84.5","6.5","1.1%"
"90","Cedric Tillman (CLE)","29","49","339","11.7","38","6","3","1","-5","0","1","11","80.4","7.3","30.4%"
"91","Sterling Shepard (TB)","32","51","334","10.4","30","4","1","8","69","0","0","14","80.3","5.7","1.0%"
"92","Rashid Shaheed (NO)","20","41","349","17.5","70","5","3","6","29","0","1","6","79.8","13.3","69.3%"
"93","Tyler Boyd (FA)","39","57","390","10.0","40","4","0","1","3","0","0","15","78.3","5.2","0.7%"
"94","Chris Olave (NO)","32","44","400","12.5","39","4","1","1","7","0","1","8","76.7","9.6","90.3%"
"95","Christian Kirk (HOU)","27","47","379","14.0","61","7","1","0","0","0","0","8","70.9","8.9","39.0%"
"96","Brandin Cooks (NO)","26","54","259","10.0","29","3","3","3","-3","0","0","10","69.6","7.0","2.4%"
"97","Dyami Brown (JAC)","30","40","308","10.3","51","5","1","3","26","0","1","15","67.4","4.5","3.6%"
"98","Troy Franklin (DEN)","28","53","263","9.4","30","5","2","2","8","0","0","16","67.1","4.2","3.5%"
"99","Kendrick Bourne (FA)","28","38","305","10.9","37","2","1","1","6","0","0","12","65.1","5.4","0.7%"
"100","Rashee Rice (KC)","24","29","288","12.0","44","3","2","1","1","0","0","4","64.9","16.2","93.2%"
"101","Lil'Jordan Humphrey (NYG)","31","45","293","9.5","41","5","1","0","0","0","1","14","64.3","4.6","0.7%"
"102","Curtis Samuel (BUF)","31","46","253","8.2","38","2","1","5","14","0","0","14","63.7","4.6","1.1%"
"103","Van Jefferson (TEN)","24","40","276","11.5","43","4","2","0","0","0","0","15","63.6","4.2","0.7%"
"104","Justin Watson (HOU)","22","32","289","13.1","49","2","2","0","0","0","0","16","62.9","3.9","1.8%"
"105","Brandon Aiyuk (SF)","25","47","374","15.0","53","5","0","0","0","0","0","7","62.4","8.9","54.3%"
"106","Tyler Johnson (NYJ)","26","41","291","11.2","63","4","1","0","0","0","0","11","61.1","5.6","1.1%"
"107","Mike Williams (FA)","21","34","298","14.2","32","6","1","0","0","0","0","14","56.8","4.1","1.2%"
"108","Kalif Raymond (DET)","17","22","215","12.6","38","3","2","2","0","0","0","12","56.5","4.7","0.6%"
"109","John Metchie III (PHI)","24","37","254","10.6","28","3","1","0","0","0","0","13","55.4","4.3","0.9%"
"110","Malik Washington (MIA)","26","36","223","8.6","20","2","0","5","25","1","1","14","54.8","3.9","2.6%"
"111","Gabe Davis (FA)","20","42","239","12.0","22","6","2","0","0","0","1","10","53.9","5.4","1.1%"
