"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Ja'Marr Chase (CIN)","127","175","1,708","13.4","70","19","17","3","32","0","0","17","276.0","16.2","99.9%"
"2","Justin Jefferson (MIN)","103","154","1,533","14.9","97","28","10","1","3","0","0","17","214.5","12.6","99.9%"
"3","Amon-Ra St. Brown (DET)","115","141","1,263","11.0","66","14","12","2","6","0","1","17","201.2","11.8","99.9%"
"4","Brian Thomas Jr. (JAC)","87","133","1,282","14.7","85","18","10","6","48","0","0","17","197.0","11.6","99.7%"
"5","Terry McLaurin (WAS)","82","117","1,096","13.4","86","12","13","2","2","0","1","17","185.8","10.9","98.2%"
"6","Drake London (ATL)","100","158","1,271","12.7","39","12","9","1","-3","0","0","17","180.8","10.6","99.5%"
"7","Mike Evans (TB)","74","110","1,004","13.6","57","15","11","0","0","0","0","14","166.4","11.9","98.3%"
"8","Malik Nabers (NYG)","109","170","1,204","11.0","59","16","7","5","2","0","0","15","164.6","11.0","99.8%"
"9","CeeDee Lamb (DAL)","101","152","1,194","11.8","65","16","6","14","70","0","1","15","162.4","10.8","99.9%"
"10","Courtland Sutton (DEN)","81","135","1,081","13.3","47","17","8","0","0","0","1","17","159.3","9.4","93.6%"
"11","Ladd McConkey (LAC)","82","112","1,149","14.0","60","15","7","0","0","0","0","16","158.9","9.9","99.1%"
"12","Davante Adams (LAR)","85","141","1,063","12.5","71","16","8","0","0","0","0","14","156.3","11.2","99.0%"
"13","Jameson Williams (DET)","58","91","1,001","17.3","82","17","7","11","61","1","0","15","154.2","10.3","91.5%"
"14","Jaxon Smith-Njigba (SEA)","100","137","1,130","11.3","46","14","6","5","26","0","0","17","153.0","9.0","98.7%"
"15","Jerry Jeudy (CLE)","90","145","1,229","13.7","89","13","4","0","0","0","0","17","150.9","8.9","91.9%"
"16","Garrett Wilson (NYJ)","101","154","1,104","10.9","42","16","7","2","5","0","2","17","150.9","8.9","97.8%"
"17","A.J. Brown (PHI)","67","97","1,079","16.1","67","17","7","0","0","0","0","13","149.9","11.5","99.8%"
"18","Jordan Addison (MIN)","63","99","875","13.9","69","13","9","3","20","1","0","15","149.5","10.0","80.9%"
"19","Tee Higgins (CIN)","73","109","911","12.5","42","12","10","0","0","0","1","12","149.1","12.4","99.6%"
"20","Nico Collins (HOU)","68","99","1,006","14.8","67","14","7","0","0","0","0","12","142.6","11.9","99.8%"
"21","Jayden Reed (GB)","55","75","857","15.6","70","15","6","20","163","1","1","17","142.0","8.4","72.2%"
"22","DJ Moore (CHI)","98","140","966","9.9","44","11","6","14","75","0","1","17","140.1","8.2","95.4%"
"23","Tyreek Hill (MIA)","81","123","959","11.8","80","13","6","8","53","0","0","17","137.2","8.1","99.2%"
"24","Zay Flowers (BAL)","74","116","1,059","14.3","53","19","4","9","56","0","0","17","135.5","8.0","95.5%"
"25","Calvin Ridley (TEN)","64","120","1,017","15.9","63","19","4","8","55","1","1","17","135.2","8.0","91.9%"
"26","Marvin Harrison Jr. (ARI)","62","116","885","14.3","60","14","8","0","0","0","1","17","134.5","7.9","97.3%"
"27","Jauan Jennings (SF)","77","113","975","12.7","45","12","6","0","0","0","0","15","133.5","8.9","79.5%"
"28","DeVonta Smith (PHI)","68","89","833","12.3","49","14","8","1","1","0","0","13","131.4","10.1","92.9%"
"29","Jakobi Meyers (LV)","87","129","1,027","11.8","43","16","4","2","23","0","0","15","131.0","8.7","86.9%"
"30","Rashod Bateman (BAL)","45","72","756","16.8","59","11","9","0","0","0","0","17","129.6","7.6","24.1%"
"31","Darnell Mooney (ATL)","64","106","992","15.5","49","21","5","0","0","0","0","16","129.2","8.1","65.6%"
"32","Xavier Worthy (KC)","59","98","638","10.8","54","4","6","20","104","3","0","17","128.2","7.5","97.4%"
"33","Puka Nacua (LAR)","79","106","990","12.5","51","11","3","11","46","1","0","11","127.6","11.6","99.9%"
"34","DK Metcalf (PIT)","66","108","992","15.0","71","20","5","0","0","0","2","15","125.2","8.3","97.9%"
"35","Alec Pierce (IND)","37","69","824","22.3","65","13","7","0","0","0","0","16","124.4","7.8","1.1%"
"36","Quentin Johnston (LAC)","55","91","711","12.9","66","12","8","3","6","0","0","15","119.7","8.0","4.8%"
"37","Keenan Allen (LAC)","70","121","744","10.6","45","9","7","0","0","0","0","15","115.4","7.7","69.2%"
"38","Josh Downs (IND)","72","107","803","11.2","69","10","5","1","12","0","0","14","111.5","8.0","60.0%"
"39","Cooper Kupp (SEA)","67","100","710","10.6","69","10","6","2","10","0","0","12","108.0","9.0","89.2%"
"40","Khalil Shakir (BUF)","76","100","821","10.8","52","9","4","2","4","0","0","15","106.5","7.1","80.9%"
"41","George Pickens (DAL)","59","103","900","15.3","44","17","3","2","-6","0","1","14","105.4","7.5","92.4%"
"42","Nick Westbrook-Ikhine (MIA)","32","60","497","15.5","98","4","9","0","0","0","0","14","103.7","7.4","3.4%"
"43","Jalen Tolbert (DAL)","49","79","610","12.4","48","8","7","0","0","0","0","17","103.0","6.1","0.7%"
"44","Deebo Samuel Sr. (WAS)","51","81","670","13.1","76","10","3","42","136","1","1","15","102.6","6.8","85.2%"
"45","Jalen McMillan (TB)","37","58","461","12.5","33","8","8","4","43","0","0","13","98.4","7.6","8.2%"
"46","Michael Pittman Jr. (IND)","69","111","808","11.7","33","12","3","0","0","0","1","16","96.8","6.1","81.4%"
"47","Demarcus Robinson (SF)","31","64","505","16.3","46","9","7","0","0","0","0","17","92.5","5.4","0.3%"
"48","Jaylen Waddle (MIA)","58","83","744","12.8","63","12","2","4","12","0","0","16","91.6","5.7","91.5%"
"49","Adam Thielen (CAR)","48","62","615","12.8","40","9","5","0","0","0","0","10","91.5","9.2","51.5%"
"50","DeAndre Hopkins (BAL)","56","80","610","10.9","35","6","5","0","0","0","0","16","91.0","5.7","8.5%"
"51","Rome Odunze (CHI)","54","101","734","13.6","47","8","3","3","15","0","1","17","90.9","5.3","88.6%"
"52","Marvin Mims Jr. (DEN)","39","52","503","12.9","93","7","6","13","42","0","0","17","90.5","5.3","34.0%"
"53","Wan'Dale Robinson (NYG)","93","140","699","7.5","35","4","3","3","18","0","0","17","89.7","5.3","22.8%"
"54","Allen Lazard (NYJ)","37","60","530","14.3","52","8","6","0","0","0","0","12","89.0","7.4","0.7%"
"55","Tank Dell (HOU)","51","81","667","13.1","50","9","3","9","43","0","0","14","89.0","6.4","1.1%"
"56","Chris Godwin Jr. (TB)","50","62","576","11.5","55","7","5","1","2","0","0","7","87.8","12.5","84.5%"
"57","Romeo Doubs (GB)","46","72","601","13.1","39","8","4","0","0","0","0","13","86.1","6.6","12.5%"
"58","Andrei Iosivas (CIN)","36","61","479","13.3","39","7","6","0","0","0","0","17","83.9","4.9","1.0%"
"59","Calvin Austin III (PIT)","36","58","548","15.2","55","10","4","0","0","0","1","17","82.8","4.9","1.6%"
"60","Keon Coleman (BUF)","29","57","556","19.2","64","12","4","1","9","0","0","13","82.5","6.3","79.7%"
"61","Tre Tucker (LV)","47","81","539","11.5","58","6","3","9","44","1","0","17","82.3","4.8","0.9%"
"62","DeMario Douglas (NE)","66","87","621","9.4","36","8","3","3","16","0","0","17","81.7","4.8","13.2%"
"63","Kayshon Boutte (NE)","43","68","589","13.7","48","11","3","0","0","0","0","15","78.9","5.3","0.3%"
"64","Amari Cooper (LV)","44","85","547","12.4","30","8","4","0","0","0","0","13","78.7","6.1","2.5%"
"65","Ray-Ray McCloud III (ATL)","62","87","686","11.1","60","8","1","10","79","0","2","17","78.5","4.6","3.1%"
"66","Michael Wilson (ARI)","47","71","548","11.7","41","10","4","1","7","0","1","16","77.5","4.8","7.2%"
"67","Christian Watson (GB)","29","53","620","21.4","60","12","2","4","23","0","1","15","76.3","5.1","1.6%"
"68","Xavier Legette (CAR)","49","84","497","10.1","35","7","4","6","24","0","0","16","76.1","4.8","41.5%"
"69","Jalen Nailor (MIN)","28","42","414","14.8","33","8","6","3","-4","0","1","17","75.0","4.4","1.2%"
"70","Stefon Diggs (NE)","47","64","496","10.6","49","5","3","3","8","1","0","8","74.9","9.4","87.2%"
"71","KaVontae Turpin (DAL)","31","52","420","13.5","64","6","2","16","92","0","1","17","73.2","4.3","1.5%"
"72","Tyler Lockett (TEN)","49","74","600","12.2","37","7","2","0","0","0","0","17","72.0","4.2","10.0%"
"73","Dontayvion Wicks (GB)","39","76","415","10.6","36","4","5","0","0","0","0","17","71.5","4.2","0.3%"
"74","Darius Slayton (NYG)","39","71","573","14.7","43","9","2","2","17","0","0","16","71.0","4.4","3.5%"
"75","Joshua Palmer (BUF)","39","65","584","15.0","45","10","1","0","0","0","0","15","68.4","4.6","5.9%"
"76","Mack Hollins (NE)","31","50","378","12.2","44","4","5","0","0","0","0","17","67.8","4.0","0.2%"
"77","Olamide Zaccheaus (CHI)","45","64","506","11.2","49","5","3","1","8","0","1","17","67.4","4.0","0.4%"
"78","Devaughn Vele (NO)","41","55","475","11.6","37","7","3","0","0","0","0","13","65.5","5.0","0.3%"
"79","Marquez Valdes-Scantling (SEA)","19","44","411","21.6","71","8","4","1","4","0","0","13","65.5","5.0","0.3%"
"80","Parker Washington (JAC)","32","51","390","12.2","30","6","3","0","0","0","0","17","65.0","3.8","0.2%"
"81","Ricky Pearsall (SF)","31","46","400","12.9","46","5","3","3","45","0","0","11","62.5","5.7","80.7%"
"82","Jalen Coker (CAR)","32","46","478","14.9","83","6","2","0","0","0","0","11","60.6","5.5","0.9%"
"83","Elijah Moore (BUF)","61","102","538","8.8","44","5","1","1","1","0","0","17","59.9","3.5","0.3%"
"84","Rashid Shaheed (NO)","20","41","349","17.5","70","5","3","6","29","0","1","6","59.8","10.0","70.0%"
"85","Tim Patrick (DET)","33","44","394","11.9","42","6","3","0","0","0","0","16","59.4","3.7","0.3%"
"86","Tutu Atwell (LAR)","42","62","562","13.4","50","10","0","2","7","0","0","17","56.9","3.3","1.3%"
"87","Diontae Johnson (CLE)","33","67","375","11.4","39","5","3","2","6","0","0","11","56.1","5.1","2.6%"
"88","Greg Dortch (ARI)","37","50","342","9.2","39","2","3","5","31","0","1","17","53.3","3.1","0.3%"
"89","David Moore (CAR)","32","57","351","11.0","21","2","3","1","0","0","0","17","53.1","3.1","0.1%"
"90","Cedric Tillman (CLE)","29","49","339","11.7","38","6","3","1","-5","0","1","11","51.4","4.7","31.5%"
"91","Noah Brown (WAS)","35","56","453","12.9","52","4","1","0","0","0","0","11","51.3","4.7","0.6%"
"92","Sterling Shepard (TB)","32","51","334","10.4","30","4","1","8","69","0","0","14","48.3","3.5","0.1%"
"93","Chris Olave (NO)","32","44","400","12.5","39","4","1","1","7","0","1","8","44.7","5.6","86.2%"
"94","Christian Kirk (HOU)","27","47","379","14.0","61","7","1","0","0","0","0","8","43.9","5.5","22.2%"
"95","Brandin Cooks (NO)","26","54","259","10.0","29","3","3","3","-3","0","0","10","43.6","4.4","3.3%"
"96","Rashee Rice (KC)","24","29","288","12.0","44","3","2","1","1","0","0","4","40.9","10.2","94.4%"
"97","Justin Watson (HOU)","22","32","289","13.1","49","2","2","0","0","0","0","16","40.9","2.6","0.1%"
"98","Van Jefferson (TEN)","24","40","276","11.5","43","4","2","0","0","0","0","15","39.6","2.6","0.5%"
"99","Kalif Raymond (DET)","17","22","215","12.6","38","3","2","2","0","0","0","12","39.5","3.3","0.1%"
"100","Tyler Boyd (FA)","39","57","390","10.0","40","4","0","1","3","0","0","15","39.3","2.6","0.1%"
"101","Troy Franklin (DEN)","28","53","263","9.4","30","5","2","2","8","0","0","16","39.1","2.4","1.0%"
"102","Dyami Brown (JAC)","30","40","308","10.3","51","5","1","3","26","0","1","15","37.4","2.5","1.2%"
"103","Brandon Aiyuk (SF)","25","47","374","15.0","53","5","0","0","0","0","0","7","37.4","5.3","41.1%"
"104","Kendrick Bourne (NE)","28","38","305","10.9","37","2","1","1","6","0","0","12","37.1","3.1","0.1%"
"105","Mike Williams (FA)","21","34","298","14.2","32","6","1","0","0","0","0","14","35.8","2.6","1.1%"
"106","Nelson Agholor (FA)","14","29","231","16.5","56","5","2","0","0","0","0","13","35.1","2.7","0.0%"
"107","Tyler Johnson (NYJ)","26","41","291","11.2","63","4","1","0","0","0","0","11","35.1","3.2","0.0%"
"108","JuJu Smith-Schuster (KC)","18","26","231","12.8","50","3","2","0","0","0","0","14","35.1","2.5","0.6%"
"109","Gabe Davis (FA)","20","42","239","12.0","22","6","2","0","0","0","1","10","33.9","3.4","0.8%"
"110","Lil'Jordan Humphrey (NYG)","31","45","293","9.5","41","5","1","0","0","0","1","14","33.3","2.4","0.1%"
"111","Curtis Samuel (BUF)","31","46","253","8.2","38","2","1","5","14","0","0","14","32.7","2.3","0.2%"
"112","John Metchie III (PHI)","24","37","254","10.6","28","3","1","0","0","0","0","13","31.4","2.4","0.3%"
"113","DJ Turner (FA)","16","29","158","9.9","30","2","1","5","33","1","0","13","31.1","2.4","0.0%"
"114","Adonai Mitchell (IND)","23","55","312","13.6","36","4","0","4","6","0","1","17","30.8","1.8","2.9%"
"115","Jordan Whittington (LAR)","22","28","293","13.3","50","4","0","2","12","0","0","15","30.5","2.0","0.4%"
"116","Cedrick Wilson Jr. (NO)","20","27","211","10.6","25","1","1","0","0","0","1","15","29.9","2.0","0.0%"
"117","Malik Washington (MIA)","26","36","223","8.6","20","2","0","5","25","1","1","14","28.8","2.1","0.4%"
"118","Derius Davis (LAC)","13","17","112","8.6","23","1","2","12","39","0","0","15","27.1","1.8","0.2%"
"119","Josh Reynolds (NYJ)","13","24","194","14.9","49","4","1","0","0","0","0","8","25.4","3.2","1.2%"
"120","Tylan Wallace (BAL)","11","12","193","17.5","84","2","1","0","0","0","0","17","25.3","1.5","0.1%"
"121","KhaDarel Hodge (ATL)","7","12","131","18.7","45","3","1","0","0","0","0","16","25.1","1.6","0.1%"
"122","Ryan Miller (TB)","12","20","128","10.7","39","2","2","0","0","0","0","11","24.8","2.3","0.0%"
"123","Jalen Brooks (DAL)","12","30","177","14.8","41","2","1","0","0","0","0","14","23.7","1.7","0.0%"
